Bitfeld,rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf
AWDCH,23:16 -> [7:0],19:16 -> [3:0],23:16 -> [7:0],19:16 -> [3:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],19:16 -> [3:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],19:16 -> [3:0]
AWDF,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
AWDIE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
AWFORD,23:22 -> [1:0],23:22 -> [1:0],23:22 -> [1:0],23:22 -> [1:0],23:22 -> [1:0],23:22 -> [1:0],23:22 -> [1:0],23:22 -> [1:0],23:22 -> [1:0],23:22 -> [1:0],23:22 -> [1:0],23:22 -> [1:0],23:22 -> [1:0],23:22 -> [1:0],23:22 -> [1:0]
AWFOSR,20:16 -> [4:0],20:16 -> [4:0],20:16 -> [4:0],20:16 -> [4:0],20:16 -> [4:0],20:16 -> [4:0],20:16 -> [4:0],20:16 -> [4:0],20:16 -> [4:0],20:16 -> [4:0],20:16 -> [4:0],20:16 -> [4:0],20:16 -> [4:0],20:16 -> [4:0],20:16 -> [4:0]
AWFSEL,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
AWHT,31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0]
AWHTF,15:8 -> [7:0],11:8 -> [3:0],15:8 -> [7:0],11:8 -> [3:0],15:8 -> [7:0],15:8 -> [7:0],15:8 -> [7:0],15:8 -> [7:0],15:8 -> [7:0],11:8 -> [3:0],15:8 -> [7:0],15:8 -> [7:0],15:8 -> [7:0],15:8 -> [7:0],11:8 -> [3:0]
AWLT,31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0]
